Frame,X_metros,Y_metros,Velocidad_X,Aceleracion_X,Velocidad_Y,Aceleracion_Y
1,-2.474508567223795e-05,4.273191352184733,-0.020699103482452456,-0.2676325629589583,-0.23889612710425914,-14.839081557567603
2,-0.00040491958372752834,4.267429496478506,-0.025159646198435096,-0.2676325629589583,-0.4862141530637192,-14.839081557567603
3,-0.0008570797855566017,4.25742348365395,-0.029620188914417735,-0.2676325629589583,-0.7335321790231792,-14.839081557567603
4,-0.0013812256911594596,4.243173313711066,-0.03408073163040036,-0.2676325629589572,-0.9808502049826693,-14.839081557569239
5,-0.001970608640807307,4.224283065279095,-0.03653917196017464,-0.12841735369644386,-1.2113715667282499,-13.405537685274131
6,-0.0027354567434037507,4.201301629349315,-0.03525210614046928,0.1702590440149575,-1.421646949287453,-11.713359462991336
7,-0.0034013245033112424,4.175746704509621,-0.02991584448348862,0.5017146461233484,-1.6147036085957716,-10.584469372738807
8,-0.003941217281614614,4.147402333648694,-0.021962066945983592,0.6609830157228427,-1.7957990719466643,-10.521738973735191
9,-0.004157174392935963,4.11630450961842,-0.015502635491282533,0.38872280037842827,-1.9758918772807235,-11.13258908861622
10,-0.0041751708188794085,4.081949332492382,-0.015734018110555407,-0.21287200973104273,-2.161306482858045,-11.413333333334549
11,-0.004175170818879409,4.044318805844638,-0.0251435779609856,-0.9594665945848477,-2.3455256115691334,-11.149557147363106
12,-0.004553095763691769,4.003376936823297,-0.04296003964499689,-1.4438275442627317,-2.5214920935261667,-10.25025003378936
13,-0.00543492063492061,3.959555639651007,-0.06451718700725294,-1.4762211109609322,-2.6850410415822203,-9.28307068522882
14,-0.006874634710396267,3.9132328392725775,-0.08310492408884045,-1.0011154660539654,-2.8385248456998937,-8.6907311798901
15,-0.008620288026910505,3.8648044570587645,-0.09386421588502906,-0.3270207685723249,-2.9894634410055616,-8.89126278325975
16,-0.010473919899085412,3.8140005466204165,-0.09652511600666713,0.21749966211650104,-3.147574897508692,-9.76126143172504
17,-0.012093598233995527,3.760605150846213,-0.09367139703563512,0.3964355543541832,-3.3187980357706124,-10.859557597873918
18,-0.013515315883527739,3.704060380531906,-0.08908230842005667,0.28999954948865364,-3.5015517412263026,-11.49663107627209
19,-0.014865047829286175,3.644114285714288,-0.0863442807586613,0.013882957156355026,-3.688316078749388,-11.4457269000323
20,-0.016268769052874953,3.5807488699674157,-0.08769401270441998,-0.21904221291166562,-3.8712626030544737,-10.76083434698449
21,-0.017690486702407186,3.514450036791761,-0.09178177231157425,-0.3331909717529416,-4.045609406676583,-10.00035680497426
22,-0.01925617575948699,3.4454697361505335,-0.09579240437897074,-0.27148893994682594,-4.212204892553052,-9.608548903005873
23,-0.020965836224114354,3.3740239251550532,-0.09633229715727396,0.021595711132159072,-4.376332297157287,-9.784399693652656
24,-0.02272948596657205,3.299896646694,-0.091126188223634,0.5229247195567173,-4.542580709104845,-10.159239536875036
25,-0.024367160727425615,3.222925932933882,-0.07878578186241376,1.025796278776426,-4.711065819705377,-10.34897328467867
26,-0.025644906969410262,3.1428598339114915,-0.06181772311573615,1.257178898049292,-4.879011037527599,-10.10062260665904
27,-0.026472742562808765,3.0599323031640937,-0.0440398252016036,1.1229769788710224,-5.043177005901706,-9.636314817318167
28,-0.02686866393356457,2.974377294228952,-0.0292313375681396,0.7342541784925918,-5.20271532189035,-9.267645177276426
29,-0.02712061389677281,2.886410764217389,-0.020053160336982304,0.2992548542595901,-5.360903905933238,-9.381793936118209
30,-0.027336571008094158,2.7959067381478,-0.017662206604495953,-0.08021264134792933,-5.523990088750738,-9.947910077938856
31,-0.02757052454535895,2.7027572374645246,-0.021672838671892458,-0.38255259719781465,-5.696215885029513,-10.713015272334303
32,-0.02787646378639753,2.6065483443708635,-0.030272559354867695,-0.6617542911204197,-5.877234220840661,-11.255993152228076
33,-0.028398360138757458,2.507082098181438,-0.04211163670766306,-0.8514880389241714,-6.062186061179448,-11.326950488804902
34,-0.029208199306212518,2.4043045096184192,-0.05402784160021616,-0.7820732531423094,-6.24463125647611,-10.844132089922503
35,-0.03030598128876271,2.2984675286450145,-0.06285894490246424,-0.4380844258233088,-6.418438167319923,-10.080569446321997
36,-0.03161972038263425,2.1898411016503756,-0.06667675812046675,-0.007712753975761244,-6.582257061765121,-9.398761994864909
37,-0.03284347734678857,2.078713171449597,-0.06752516105780074,0.17739334144253724,-6.738903095012861,-9.102592242195765
38,-0.033887270051508434,1.9651917165983406,-0.06964616840113558,-0.08638284452853941,-6.894122268775079,-9.252219669324942
39,-0.034805087774624176,1.849168758540945,-0.0772046672973829,-0.7034031625895321,-7.051809523809544,-9.63322971572701
40,-0.035956859035004715,1.730446336592033,-0.09124187953327054,-1.2093598233995442,-7.213738793530668,-9.95253773032391
41,-0.037594533795858295,1.6088264900662264,-0.10770860927152341,-1.210902374194696,-7.3779047619047695,-9.975675992251395
42,-0.03977210133501524,1.4843992010932419,-0.12085885480019826,-0.6571266387349459,-7.541415146190934,-9.750463576159204
43,-0.04218362241143697,1.3572184589509104,-0.1262577825832318,0.07095733657704167,-7.701146281028976,-9.4049321980449
44,-0.04445117208031116,1.227500220750553,-0.12691336667117142,0.33781862413841085,-7.8564040185610775,-9.145783664459595
45,-0.04641278250814673,1.095226490066226,-0.11958625039419703,0.5229247195567077,-8.04629202144435,-11.530567193765373
46,-0.048158435824660964,0.960523241879534,-0.10493201784024832,0.8694844648676275,-8.18629778798938,-9.146040756258477
47,-0.050336003363817904,0.8233004940607596,-0.08290567794446643,1.5155561562373385,-8.11254136444866,6.5392584583503846
48,-0.05170373173551979,0.6776914117523394,-0.052549563754861445,2.293773032391773,-7.7760885404934665,29.29689597693386
49,-0.05236360068677947,0.5409755632643054,-0.012957426679280931,2.8511480530401916,-7.168252826958606,50.60594975296954
50,-0.05219863344896451,0.4293272364133297,0.03456170753805453,2.8511480530401747,-6.324820331075768,50.605949752969636
51,-0.05121782823504674,0.3338516976768636,0.0820808417553908,2.8511480530401747,-5.48138783519294,50.605949752969636
52,-0.0494211850450261,0.2545489470549075,0.12959997597272702,2.8511480530401747,-4.637955339310113,50.605949752969636
